generation,best_fitness,median_tree_size
0,5.941553,91
1,5.777299,43
2,5.659035,13
3,4.451207,9
4,4.451207,9
5,4.030046,9
6,3.655121,13
7,3.591529,13
8,3.070876,21
9,2.89397,21
10,2.893969,29
11,2.88637,31
12,2.88637,39
13,2.88637,43
14,2.88637,49
15,2.88637,53
16,2.876926,55
17,2.876926,65
18,2.741521,63
19,2.741521,77
20,2.704655,117
21,2.704655,115
22,2.704655,89
23,2.704655,103
24,2.704655,109
25,2.637952,109
26,2.637952,137
27,2.637952,139
28,2.637952,149
29,2.637952,131
30,2.637952,71
31,2.637952,73
32,2.637952,65
33,2.637952,65
34,2.637952,63
35,2.637952,67
36,2.637951,77
37,2.621819,77
38,2.563554,77
39,2.563554,75
40,2.563554,73
41,2.563554,77
42,2.563554,87
43,2.563554,127
44,2.556372,153
45,2.54442,153
46,2.54442,115
47,2.54442,107
48,2.54442,105
49,2.472557,105
50,2.472557,103
51,2.472557,119
52,2.472557,167
53,2.472557,173
54,2.472557,179
55,2.330956,189
56,2.330956,195
57,2.330956,195
58,2.330956,173
59,2.297375,169
60,2.297375,167
61,2.297375,173
62,2.297375,169
63,2.297375,171
64,2.297375,171
65,2.297375,171
66,2.297375,175
67,2.297375,175
68,2.297375,187
69,2.297375,181
70,2.297375,235
71,2.297375,229
72,2.297375,221
73,2.297375,191
74,2.297375,199
75,2.297375,177
76,2.297375,195
77,2.297375,295
78,2.297375,369
79,2.297375,317
80,2.297375,313
81,2.297375,309
82,2.297375,317
83,2.297375,267
84,2.297375,209
85,2.297375,329
86,2.297375,323
87,2.297375,371
88,2.297375,339
89,2.297375,373
90,2.293878,365
91,2.293878,375
92,2.293878,375
93,2.293878,377
94,2.293415,371
95,2.293415,459
96,2.293415,657
97,2.293415,647
98,2.293415,625
99,2.293415,649
