generation,best_fitness
0,0.0015316250799625372
1,0.0015316250799625372
2,0.0015316250799625372
3,0.0008518582971588519
4,0.0008518582971588519
5,0.0008518582971588519
6,0.0008518582971588519
7,0.00015613862267695267
8,0.00015613862267695267
9,8.131346733475203e-05
10,8.131346733475203e-05
11,8.131346733475203e-05
12,6.739513713514738e-05
13,6.739513713514738e-05
14,6.739513713514738e-05
15,4.3530604617799855e-05
16,3.00943700461554e-05
17,3.00943700461554e-05
18,3.00943700461554e-05
19,3.00943700461554e-05
20,3.00943700461554e-05
21,3.00943700461554e-05
22,3.00943700461554e-05
23,3.00943700461554e-05
24,3.00943700461554e-05
25,3.00943700461554e-05
26,3.00943700461554e-05
27,3.00943700461554e-05
28,1.880440354198826e-05
29,1.880440354198826e-05
30,1.880440354198826e-05
31,1.880440354198826e-05
32,1.880440354198826e-05
33,1.880440354198826e-05
34,1.880440354198826e-05
35,1.2197010412714599e-05
36,1.2197010412714599e-05
37,1.2197010412714599e-05
38,1.2197010412714599e-05
39,1.2197010412714599e-05
40,1.2197010412714599e-05
41,1.2197010412714599e-05
42,1.2197010412714599e-05
43,1.2197010412714599e-05
44,1.2197010412714599e-05
45,1.2197010412714599e-05
46,1.2197010412714599e-05
47,1.2197010412714599e-05
48,1.2197010412714599e-05
49,1.2197010412714599e-05
50,1.2197010412714599e-05
51,1.2197010412714599e-05
52,1.2197010412714599e-05
53,1.2197010412714599e-05
54,1.2197010412714599e-05
55,1.2197010412714599e-05
56,1.2197010412714599e-05
57,1.2197010412714599e-05
58,1.2197010412714599e-05
59,1.2197010412714599e-05
60,1.2197010412714599e-05
61,1.2197010412714599e-05
62,1.2197010412714599e-05
63,1.2197010412714599e-05
64,1.2197010412714599e-05
65,1.2197010412714599e-05
66,1.2197010412714599e-05
67,1.2197010412714599e-05
68,1.2197010412714599e-05
69,1.2197010412714599e-05
70,1.2197010412714599e-05
71,1.2197010412714599e-05
72,1.2197010412714599e-05
73,1.2197010412714599e-05
74,1.2197010412714599e-05
75,1.2197010412714599e-05
76,1.2197010412714599e-05
77,1.2197010412714599e-05
78,1.2197010412714599e-05
79,1.2197010412714599e-05
80,1.2197010412714599e-05
81,1.2197010412714599e-05
82,1.2197010412714599e-05
83,1.2197010412714599e-05
84,1.2197010412714599e-05
85,1.2197010412714599e-05
86,1.2197010412714599e-05
87,1.2197010412714599e-05
88,1.2197010412714599e-05
89,1.2197010412714599e-05
90,1.2197010412714599e-05
91,1.2197010412714599e-05
92,1.2197010412714599e-05
93,1.2197010412714599e-05
94,1.2197010412714599e-05
95,1.2197010412714599e-05
96,1.2197010412714599e-05
97,1.2197010412714599e-05
98,1.2197010412714599e-05
99,1.2197010412714599e-05
100,1.2197010412714599e-05
101,1.2197010412714599e-05
102,1.2197010412714599e-05
103,1.2197010412714599e-05
104,1.2197010412714599e-05
105,1.2197010412714599e-05
106,1.2197010412714599e-05
107,1.2197010412714599e-05
108,1.2197010412714599e-05
109,1.2197010412714599e-05
110,1.2197010412714599e-05
111,1.2197010412714599e-05
112,1.2197010412714599e-05
113,1.2197010412714599e-05
114,1.2197010412714599e-05
115,1.2197010412714599e-05
116,1.2197010412714599e-05
117,1.2197010412714599e-05
118,1.2197010412714599e-05
119,1.2197010412714599e-05
120,1.2197010412714599e-05
121,1.2197010412714599e-05
122,1.2197010412714599e-05
123,1.2197010412714599e-05
124,1.2197010412714599e-05
125,1.2197010412714599e-05
126,1.2197010412714599e-05
127,1.2197010412714599e-05
128,1.2197010412714599e-05
129,1.2197010412714599e-05
130,1.2197010412714599e-05
131,1.2197010412714599e-05
132,1.2197010412714599e-05
133,1.2197010412714599e-05
134,1.2197010412714599e-05
135,1.2197010412714599e-05
136,1.2197010412714599e-05
137,1.2197010412714599e-05
138,1.2197010412714599e-05
139,1.2197010412714599e-05
140,1.2197010412714599e-05
141,1.2197010412714599e-05
142,1.2197010412714599e-05
143,1.2197010412714599e-05
144,1.2197010412714599e-05
145,1.2197010412714599e-05
146,1.2197010412714599e-05
147,1.2197010412714599e-05
148,1.2197010412714599e-05
149,1.2197010412714599e-05
150,1.2197010412714599e-05
151,1.2197010412714599e-05
152,1.2197010412714599e-05
153,1.2197010412714599e-05
154,1.2197010412714599e-05
155,1.2197010412714599e-05
156,1.2197010412714599e-05
157,1.2197010412714599e-05
158,1.2197010412714599e-05
159,1.2197010412714599e-05
160,1.2197010412714599e-05
161,1.2197010412714599e-05
162,1.2197010412714599e-05
163,1.2197010412714599e-05
164,1.2197010412714599e-05
165,1.2197010412714599e-05
166,1.2197010412714599e-05
167,1.2197010412714599e-05
168,1.2197010412714599e-05
169,1.2197010412714599e-05
170,1.2197010412714599e-05
171,1.2197010412714599e-05
172,1.2197010412714599e-05
173,1.2197010412714599e-05
174,1.2197010412714599e-05
175,1.2197010412714599e-05
176,1.2197010412714599e-05
177,1.2197010412714599e-05
178,1.2197010412714599e-05
179,1.2197010412714599e-05
180,1.2197010412714599e-05
181,1.2197010412714599e-05
182,1.2197010412714599e-05
183,1.2197010412714599e-05
184,1.2197010412714599e-05
185,1.2197010412714599e-05
186,1.2197010412714599e-05
187,1.2197010412714599e-05
188,1.2197010412714599e-05
189,1.2197010412714599e-05
190,1.2197010412714599e-05
191,1.2197010412714599e-05
192,1.2197010412714599e-05
193,1.2197010412714599e-05
194,1.2197010412714599e-05
195,1.2197010412714599e-05
196,1.2197010412714599e-05
197,1.2197010412714599e-05
198,1.2197010412714599e-05
199,1.2197010412714599e-05
