Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,2,3,0,0,CONVERGED,CONVERGED
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,2,7,0,0,CONVERGED,CONVERGED
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,8.508541,3,1,0,0,CONVERGED,BUDGET EXHAUSTED
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],FAIL,FAIL,,,200,200,TIMEOUT,TIMEOUT
2.1,Phase 2: f(x) = sin(x) + cos(x),0.000000,FAIL,18,,0,200,CONVERGED,TIMEOUT
3.1,Phase 3: f(x) = sinh(x),0.000000,7.606952,2,1,0,0,CONVERGED,BUDGET EXHAUSTED
3.2,Phase 3: f(x) = arctan(x),0.000000,FAIL,2,,0,200,CONVERGED,TIMEOUT
3.3,Phase 3: f(x) = x^x,0.000000,FAIL,12,,0,200,CONVERGED,TIMEOUT
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000000,FAIL,43,,10,200,CONVERGED,TIMEOUT
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,FAIL,19,,0,200,CONVERGED,TIMEOUT
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),FAIL,FAIL,,,200,200,TIMEOUT,TIMEOUT
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",FAIL,FAIL,,,200,200,TIMEOUT,TIMEOUT
