generation,best_fitness,median_tree_size
0,0.949317,63
1,0.949317,19
2,0.866035,33
3,0.851354,167
4,0.851354,183
5,0.791754,179
6,0.791754,151
7,0.791754,163
8,0.771717,165
9,0.771717,173
10,0.771717,173
11,0.771222,173
12,0.765347,173
13,0.702536,173
14,0.696267,173
15,0.696267,175
16,0.687989,199
17,0.687989,199
18,0.687989,209
19,0.687877,191
20,0.65548,167
21,0.65548,159
22,0.638351,165
23,0.615084,169
24,0.615084,171
25,0.61411,177
26,0.594956,177
27,0.594956,177
28,0.594939,179
29,0.591809,171
30,0.591809,169
31,0.591809,177
32,0.591809,169
33,0.590908,169
34,0.590908,169
35,0.590908,181
36,0.590908,183
37,0.590891,183
38,0.590713,183
39,0.590713,195
40,0.590713,183
41,0.590713,195
42,0.590713,189
43,0.590713,183
44,0.590713,187
45,0.590713,187
46,0.590518,179
47,0.590518,189
48,0.590518,179
49,0.590518,179
50,0.590131,179
51,0.590131,179
52,0.588637,179
53,0.588637,185
54,0.588637,185
55,0.588637,187
56,0.588637,187
57,0.588637,187
58,0.588637,187
59,0.588632,187
60,0.588632,187
61,0.588632,193
62,0.588462,193
63,0.588462,193
64,0.588462,193
65,0.588462,193
66,0.588462,193
67,0.588119,193
68,0.588119,193
69,0.588119,193
70,0.588119,195
71,0.575475,195
72,0.575475,195
73,0.571765,195
74,0.56777,147
75,0.564805,141
76,0.563552,147
77,0.563552,151
78,0.563552,151
79,0.563552,155
80,0.563552,155
81,0.562808,155
82,0.562808,155
83,0.558971,159
84,0.558971,153
85,0.558971,153
86,0.558576,163
87,0.558576,163
88,0.556765,163
89,0.556765,165
90,0.556765,165
91,0.556765,165
92,0.556765,167
93,0.555653,167
94,0.555653,167
95,0.555653,167
96,0.555653,173
97,0.555259,173
98,0.555259,173
99,0.555259,173
100,0.555259,173
101,0.555259,173
102,0.555256,179
103,0.555256,179
104,0.555256,179
105,0.555256,179
106,0.555102,179
107,0.555102,177
108,0.555102,179
109,0.555102,177
110,0.555102,177
111,0.555102,177
112,0.555102,177
113,0.554856,177
114,0.554856,177
115,0.554856,177
116,0.554856,177
117,0.554856,177
118,0.554856,177
119,0.445391,177
120,0.445391,177
121,0.445391,177
122,0.420059,185
123,0.420059,185
124,0.407792,185
125,0.403883,179
126,0.403883,173
127,0.403883,173
128,0.403883,163
129,0.403883,163
130,0.400262,163
131,0.346506,163
132,0.346506,163
133,0.342975,165
134,0.342975,167
135,0.33409,167
136,0.33409,173
137,0.33217,173
138,0.330035,169
139,0.330035,169
140,0.330035,169
141,0.329857,183
142,0.329857,183
143,0.329735,183
144,0.329735,183
145,0.329585,183
146,0.329585,183
147,0.329176,183
148,0.310152,183
149,0.310152,183
150,0.310152,183
151,0.310152,153
152,0.309513,183
153,0.309513,153
154,0.309178,153
155,0.308211,149
156,0.3013,149
157,0.3013,151
158,0.3013,151
159,0.3013,157
160,0.300863,165
161,0.300863,165
162,0.299843,165
163,0.299843,165
164,0.299843,165
165,0.299573,165
166,0.299573,159
167,0.298503,159
168,0.298503,159
169,0.296754,159
170,0.296754,165
171,0.296754,169
172,0.296754,169
173,0.296341,169
174,0.296099,161
175,0.296003,161
176,0.296003,161
177,0.296003,159
178,0.294681,155
179,0.294681,155
180,0.294681,155
181,0.29464,155
182,0.29464,157
183,0.29464,157
184,0.29464,157
185,0.294438,159
186,0.267932,159
187,0.267932,159
188,0.267932,159
189,0.267932,161
190,0.267932,161
191,0.267932,161
192,0.26715,161
193,0.265708,161
194,0.265708,155
195,0.265708,155
196,0.265031,155
197,0.265031,155
198,0.265031,157
199,0.265031,157
