generation,best_fitness,median_tree_size
0,8.741167,65
1,5.308834,35
2,5.308834,45
3,5.294584,45
4,4.049424,45
5,4.049424,51
6,3.639949,57
7,3.639949,57
8,3.639949,59
9,3.421778,57
10,3.421778,57
11,3.421778,53
12,3.421778,55
13,3.242999,55
14,3.242999,59
15,3.242999,59
16,3.242765,57
17,3.209186,43
18,3.209186,31
19,3.168803,33
20,3.168803,35
21,3.13544,41
22,3.126211,39
23,2.802684,39
24,2.802684,43
25,2.316798,45
26,2.316798,45
27,2.316798,45
28,2.316798,61
29,2.295361,61
30,2.295361,61
31,2.295361,65
32,2.295361,69
33,2.295361,73
34,2.295361,73
35,2.295361,73
36,2.295361,73
37,2.289276,73
38,2.289276,71
39,2.289276,71
40,2.289276,71
41,2.289276,71
42,2.289276,69
43,2.289276,71
44,2.289276,73
45,2.289276,79
46,2.289276,73
47,2.289276,81
48,2.289276,73
49,2.289276,73
50,2.289276,73
51,2.289276,73
52,2.289276,73
53,2.289276,81
54,2.289276,79
55,2.289276,81
56,2.289276,81
57,2.289276,81
58,2.289276,81
59,2.289276,81
60,2.289276,81
61,2.289276,85
62,2.287195,89
63,2.287195,89
64,2.257954,89
65,2.257954,89
66,2.257954,91
67,2.257954,95
68,2.257954,95
69,2.257954,101
70,2.2379,95
71,2.2379,89
72,2.2379,89
73,2.2379,89
74,2.2379,89
75,2.2379,89
76,2.193819,89
77,2.159378,95
78,2.159378,97
79,2.159378,97
80,2.158749,97
81,2.158749,105
82,2.158749,101
83,2.158749,99
84,2.158749,99
85,2.140924,99
86,2.140924,97
87,2.140924,97
88,2.140924,101
89,2.140924,101
90,2.140691,101
91,2.140691,101
92,2.140691,97
93,2.140691,99
94,2.132108,101
95,2.132108,97
96,2.132108,101
97,2.132108,101
98,2.132108,101
99,2.132108,89
100,2.132108,89
101,2.132108,89
102,2.132108,101
103,2.132108,93
104,2.132108,93
105,2.132108,105
106,2.132108,109
107,2.132108,109
108,2.132108,109
109,2.132108,97
110,2.132108,97
111,2.132108,97
112,2.132108,97
113,2.132108,97
114,2.132108,101
115,2.132108,97
116,2.132108,105
117,2.132108,101
118,2.112741,113
119,2.112741,113
120,2.112741,113
121,2.112741,113
122,2.112741,113
123,2.112741,99
124,2.112741,113
125,2.112741,113
126,2.112741,109
127,2.112741,109
128,2.112741,107
129,2.112741,107
130,2.112741,107
131,2.112741,107
132,2.112741,107
133,2.112741,107
134,2.112741,103
135,2.112741,103
136,2.112741,101
137,2.112741,103
138,2.112741,101
139,2.112741,95
140,2.112741,95
141,2.084223,95
142,2.084223,95
143,2.084223,95
144,2.084223,95
145,2.084223,81
146,2.084223,95
147,2.084223,81
148,2.084223,79
149,2.084223,75
150,2.084223,75
151,2.084223,75
