generation,best_fitness,median_tree_size
0,2.104021,63
1,1.982709,77
2,0.002231,31
3,0.002231,39
4,0.000876,47
5,0.000876,41
6,0.000876,43
7,0.000814,33
8,0.000253,27
9,0.000253,29
10,0.000253,27
11,0.000253,31
12,7.3e-05,31
13,7.3e-05,31
14,7.3e-05,27
15,7.3e-05,29
16,1.4e-05,25
17,1.4e-05,25
18,1.4e-05,25
19,1.4e-05,27
20,1.4e-05,25
21,1.4e-05,25
22,1.4e-05,25
23,1.4e-05,23
24,1.4e-05,25
25,1.4e-05,23
26,1.4e-05,29
27,1.4e-05,25
28,1.4e-05,25
29,1.4e-05,23
30,1.4e-05,27
31,1.4e-05,27
32,1.4e-05,27
33,1.4e-05,25
34,1.4e-05,23
35,1.4e-05,23
36,1.2e-05,23
37,1.2e-05,23
38,1.2e-05,23
39,1.2e-05,25
40,1.2e-05,25
41,1.2e-05,29
42,1.2e-05,27
43,1.2e-05,23
44,1.2e-05,25
45,1.2e-05,25
46,1.2e-05,23
47,1.2e-05,23
48,1.2e-05,31
49,1.2e-05,29
50,1.2e-05,29
51,1.2e-05,23
52,1.2e-05,25
53,1.2e-05,27
54,1.2e-05,25
55,1.2e-05,29
56,1.2e-05,29
57,1.2e-05,31
58,1.2e-05,31
59,1.2e-05,33
60,1.2e-05,31
61,1.2e-05,31
62,1.2e-05,33
63,1.2e-05,37
64,1.2e-05,31
65,1.2e-05,31
66,1.2e-05,43
67,1.2e-05,43
68,1.2e-05,43
69,1.2e-05,43
70,1.2e-05,43
71,1.2e-05,43
72,1.2e-05,43
73,1.2e-05,43
74,1.2e-05,43
75,1.2e-05,43
76,1.2e-05,43
77,1.2e-05,43
78,1.2e-05,43
79,1.2e-05,43
80,1.2e-05,43
81,1.2e-05,43
82,1.2e-05,43
83,1.2e-05,43
84,1.2e-05,43
85,1.2e-05,43
86,1.2e-05,45
87,1.2e-05,43
88,1.2e-05,43
89,1.2e-05,43
90,1.2e-05,43
91,1.2e-05,31
92,1.2e-05,31
93,1.2e-05,27
94,1.2e-05,27
95,1.2e-05,37
96,1.2e-05,35
97,1.2e-05,49
98,1.2e-05,37
99,1.2e-05,29
