generation,best_fitness,median_tree_size
0,8.211779,24
1,8.211779,12
2,4.856481,17
3,4.856481,22
4,4.856481,28
5,2.342675,31
6,1.863081,33
7,1.863081,36
8,1.863081,34
9,1.820462,38
10,1.820462,38
11,1.820462,37
12,1.032866,39
13,0.839718,39
14,0.839718,36
15,0.822162,36
16,0.822162,38
17,0.79755,37
18,0.79755,40
19,0.79755,39
20,0.691839,38
21,0.691839,41
22,0.691839,46
23,0.608924,47
24,0.608924,49
25,0.608924,49
26,0.608924,48
27,0.608924,48
28,0.608924,48
29,0.608924,48
30,0.608924,49
31,0.574418,48
32,0.574418,49
33,0.574418,50
34,0.574418,50
35,0.574418,50
36,0.574418,50
37,0.572704,50
38,0.572704,51
39,0.521086,56
40,0.521086,56
41,0.521086,58
42,0.521086,60
43,0.521086,59
44,0.50596,70
45,0.50596,70
46,0.50596,70
47,0.505177,68
48,0.499637,68
49,0.493808,69
50,0.493808,66
51,0.493808,65
52,0.449867,65
53,0.449867,66
54,0.449867,66
55,0.449867,69
56,0.424539,67
57,0.424539,68
58,0.424539,69
59,0.424539,69
60,0.390393,69
61,0.390393,71
62,0.390393,78
63,0.390393,74
64,0.390393,75
65,0.390393,73
66,0.390393,73
67,0.390393,74
68,0.390393,73
69,0.390393,75
70,0.390393,74
71,0.390393,75
72,0.390393,76
73,0.390393,75
74,0.390393,76
75,0.349485,79
76,0.300728,79
77,0.300728,80
78,0.300728,86
79,0.300728,88
80,0.300728,89
81,0.300728,88
82,0.300728,87
83,0.300728,87
84,0.300728,87
85,0.300728,89
86,0.300728,87
87,0.300728,87
88,0.300728,87
89,0.300728,87
90,0.300728,87
91,0.300728,87
92,0.300728,87
93,0.300728,87
94,0.300728,87
95,0.294968,87
96,0.294968,87
97,0.294968,87
98,0.294968,87
99,0.294968,89
100,0.294968,91
101,0.275774,91
102,0.275774,91
103,0.275774,91
104,0.275774,91
105,0.275774,85
106,0.275774,81
107,0.275774,91
108,0.275774,91
109,0.275774,91
110,0.275774,91
111,0.275774,91
112,0.275774,91
113,0.275774,91
114,0.275774,91
115,0.275774,93
116,0.275774,93
117,0.275774,91
118,0.275774,91
119,0.275774,91
120,0.275774,91
121,0.275774,91
122,0.275774,91
123,0.275774,91
124,0.275774,91
125,0.275774,91
126,0.275774,91
127,0.274256,91
128,0.274256,92
129,0.274256,91
130,0.274256,93
131,0.274256,93
132,0.274256,93
133,0.274256,93
134,0.274256,93
135,0.274256,93
136,0.274256,93
137,0.274256,94
138,0.242276,97
139,0.242276,96
140,0.242276,93
141,0.242276,98
142,0.242276,100
143,0.242276,100
144,0.242276,100
145,0.242276,100
146,0.242276,100
147,0.242276,100
148,0.242276,100
149,0.242276,100
150,0.242276,100
151,0.242276,100
152,0.242276,102
153,0.242276,106
154,0.237322,105
155,0.237322,100
156,0.237322,106
157,0.237322,108
158,0.237322,108
159,0.237322,109
160,0.237322,110
161,0.237322,111
162,0.237322,111
163,0.237322,109
164,0.237322,109
165,0.237322,110
166,0.237322,110
167,0.237322,110
168,0.237322,111
169,0.237322,112
170,0.237322,112
171,0.237322,112
172,0.237322,112
173,0.233673,112
174,0.233673,113
175,0.233673,113
176,0.233673,115
177,0.233673,114
178,0.233673,112
179,0.233673,110
180,0.233673,110
181,0.233673,110
182,0.233673,110
183,0.233673,110
184,0.233673,110
185,0.233673,110
186,0.233673,110
187,0.233673,110
188,0.233673,110
189,0.233673,110
190,0.233673,110
191,0.233673,112
192,0.233673,110
193,0.233673,111
194,0.233673,114
195,0.233673,114
196,0.233673,114
197,0.233673,113
198,0.233673,111
199,0.233673,110
