Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,2,3,0,0,CONVERGED,CONVERGED
1.2,Phase 1: f(x) = ln(x),0.000000,0.000010,2,27,0,120,CONVERGED,BUDGET EXHAUSTED
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,FAIL,7,,0,200,CONVERGED,TIMEOUT
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.000000,FAIL,10,,0,200,CONVERGED,TIMEOUT
2.1,Phase 2: f(x) = sin(x) + cos(x),0.000000,FAIL,5,,0,200,CONVERGED,TIMEOUT
3.1,Phase 3: f(x) = sinh(x),0.000000,FAIL,2,,0,200,CONVERGED,TIMEOUT
3.2,Phase 3: f(x) = arctan(x),0.000000,0.257024,4,39,0,40,CONVERGED,BUDGET EXHAUSTED
3.3,Phase 3: f(x) = x^x,FAIL,FAIL,,,200,200,TIMEOUT,TIMEOUT
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000000,FAIL,25,,0,200,CONVERGED,TIMEOUT
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,FAIL,25,,0,200,CONVERGED,TIMEOUT
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.007402,0.225876,92,35,199,40,BUDGET EXHAUSTED,BUDGET EXHAUSTED
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.329865,FAIL,39,,100,200,BUDGET EXHAUSTED,TIMEOUT
