Test ID,Test Case,Std Error,EML Error,Std Nodes,EML Nodes,Std Gens,EML Gens,Std Status,EML Status,Std Formula,EML Formula
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,6,3,0,0,CONVERGED,CONVERGED,((1.0 - 1.0) + exp(x)),exp(x)
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,2,31,0,10,CONVERGED,CONVERGED,log(x),E - log(-log(-log(-log(exp(exp(x)) - log(exp(x) - log(E - log(-log(x) + exp(exp(x))/x)))) + exp(-1)*exp(exp(E))) + exp(E)) + exp(E)/x)
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,7.982970,25,11,0,40,CONVERGED,BUDGET EXHAUSTED,(((x1 + x2) / (((1.0 - x2) - x1) / ((1.0 - 1.0) * (1.0 / x1)))) - ((x1 - x1) - (1.0 - 1.0))),exp(x2) - log(-x1 + exp(-x2 + exp(x2)))
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.000000,0.057609,14,55,10,60,CONVERGED,BUDGET EXHAUSTED,exp(((log(x) / log(1.0)) * ((1.0 - x) / (1.0 / x)))),E - log(-log(-log(E - log(-log(exp(x) - log(-log(exp(exp(x)) - 1) + exp(-x)*exp(exp(E)/x))) + exp(E))) + exp(exp(E)/(exp(x) - log(exp(x) - log(E - x))))/(exp(x) - log(-exp(x) + exp(exp(x)) + 1))) + exp(E))
2.1,Phase 2: f(x) = sin(x) + cos(x),0.000000,0.501287,5,9,10,50,CONVERGED,BUDGET EXHAUSTED,(sin(x) + cos(x)),exp(x) - log(-x + exp(exp(x)))
3.1,Phase 3: f(x) = sinh(x),0.000000,5.402806,2,75,0,99,CONVERGED,BUDGET EXHAUSTED,sinh(x),exp(x) - log(-log(-log(exp(exp(x)) - log(E - log(E - x))) + exp(exp(E)/(exp(exp(exp(exp(x)))/(E - log(x))) - log(-log(exp(x) - log(E - log(x))) + exp(exp(exp(x))/x)/(exp(x) - log(x)))))/(-x + exp(exp(-x)*exp(exp(exp(x))/x))/(-log(exp(x) - log(E - log(x))) + exp(-x)*exp(exp(exp(x))/x)))) + exp(E)/(E - log(-x + exp(x))))
3.2,Phase 3: f(x) = arctan(x),0.000000,0.797527,4,119,0,99,CONVERGED,BUDGET EXHAUSTED,(atan(x) / 1.0),exp(exp(exp(E)/(-log(x) + exp(exp(exp(exp(x))/x)/(exp(x) - log(x)))/(E - log(exp(x) - log(x)))))/(-log(-log(x) + exp(E)/(-1 + exp(exp(x))/x)) + exp(E)/(E - log(exp(exp(x)) - log(E - x)))))/(-log(-log(E - log(-1 + exp(E))) + exp(exp(x*exp(-E)*exp(exp(x)))/x)/(exp(exp(exp(x))/x) - log(-log(-1 + E) + exp(E)))) + exp(exp(exp(exp(exp(x)))/(exp(x) - log(x)))/(E - x))/(-log(exp(exp(exp(x))) - log(-log(-log(x) + exp(E)) + exp(exp(E))/(E - log(x)))) + exp(E)))
3.3,Phase 3: f(x) = x^x,0.000000,2.081793,10,57,0,70,CONVERGED,BUDGET EXHAUSTED,(log(1.0) + exp((log(x) * (x * 1.0)))),exp(x) - log(exp(x) - log(-log(1/(-log(exp(x) - log(-log(E - log(x)) + exp(E))) + exp(E))) - E + exp(exp(x))/(-log(-log(-log(1/x) - E + exp(exp(E))) + exp(exp(E)/(E - log(x)))/(-x + exp(E))) + exp(-x)*exp(exp(E)/x))))
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.017545,0.008432,103,23,99,20,BUDGET EXHAUSTED,BUDGET EXHAUSTED,(log((exp(log(exp(x))) / ((log(((exp(1.0) - x) * x)) + (((log(x) / log(x)) + exp(1.0)) + (((x * x) + exp(1.0)) / (x * exp(x))))) - exp(((((1.0 + 1.0) + exp(1.0)) + x) * (exp(x) - (x * x))))))) / (exp(((((1.0 - x) - x) - x) - exp(((exp((1.0 / x)) + log(1.0)) / (((1.0 * 1.0) * (x / x)) / exp(exp(x))))))) * ((log(log(((log(x) - exp(x)) + (log(x) / log(1.0))))) / x) - exp((x + log(1.0)))))),exp(exp(x))/(exp(exp(x)) - log(exp(x)/(-exp(x) + exp(E))))
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,188.755239,63,247,0,99,CONVERGED,BUDGET EXHAUSTED,((((x - 1.0) + (1.0 * x)) + 1.0) - (x * ((((((1.0 + x) * (1.0 + 1.0)) * ((x / x) - (1.0 - 1.0))) * ((x / x) / (x - x))) / 1.0) - (((x * x) / 1.0) + ((x - x) - ((((1.0 / x) - (1.0 + 1.0)) * ((1.0 - 1.0) * 1.0)) - 1.0)))))),-log(-log(-log(exp(x) - log(exp(exp(x)) - log(-log(x) + exp(exp(x))/(-log(x) + exp(E)/x)))) + exp(exp(exp(-x)*exp(exp(x)))/(exp(-1)*exp(exp(exp(x))) - log(-log(-log(E - log(x)) + exp(exp(x))/x) + exp(-x)*exp(exp(E)))))/(exp(exp(exp(exp(exp(x))/x)/x)/(-1 + exp(E)/x)) - log(exp(x) - log(-log(-log(exp(x) - log(x)) + exp(E)) + exp(exp(E)))))) + exp(exp(exp(exp(E)/(exp(exp(exp(x))/x) - log(exp(exp(x)) - log(x))))/(1 - log(-log(x) + exp(exp(x))/x)))/(exp(exp(x)) - 1))/(E - log(-log(E - log(-log(E - log(x)) + exp(exp(x))/x)) + exp(E)))) + exp(exp(exp(exp(exp(E)/(-1 + exp(E)/x))/(-log(exp(x) - log(E - log(x))) + exp(exp(exp(x)))/(-x + exp(E))))/(-log(-log(-log(x) + exp(exp(exp(x))/x)/x) + exp(exp(exp(x)))/(exp(x) - log(x))) + exp(-x)*exp(exp(E)/x)))/(-log(exp(exp(E)/x) - log(-log(exp(x) - log(x)) + exp(E))) + exp(exp(exp(E)/x))/(-x + exp(exp(x)))))/(-exp(x) + exp(exp(E)/x)/(-log(x) + exp(exp(E)/(-log(E - log(x)) + exp(E)))/(-log(-log(exp(x) - log(x)) + exp(E)/x) + exp(exp(exp(x))/x)/(exp(x) - log(x)))))
